"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Listing API","0","Создание объявления","1","0","","0"
"0","Listing API","0","Редактирование объявления","3","0","","0"
"0","","0","","1","0","","0"
"0","User API","0","Авторизация пользователя","1","0","","0"
"0","Listing API","0","Удаление объявления","1","0","","0"
"0","User API","0","Создание пользователя","1","0","","0"
