"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет успешное создание нового объявления","99","Создание объявления: позитивный кейс","tests.Listing","2025-12-17","passed","2025-12-17","TestCreateListing","test_create_create_listing","",""
"Тест проверяет успешное редактирование объявления владельцем","70","Редактирование объявления: позитивный кейс (владелец)","tests.Listing","2025-12-17","passed","2025-12-17","TestEditListing","test_edit_listing","",""
"Тест проверяет обработку ошибки при попытке создания пользователя с уже существующим email","94","Создание пользователя: негативный кейс - пользователь уже существует","tests.User","2025-12-17","passed","2025-12-17","TestUserRegistration","test_user_registration","",""
"Тест проверяет ошибку при редактировании чужого объявления","54","Редактирование объявления: негативный кейс (чужое объявление)","tests.Listing","2025-12-17","passed","2025-12-17","TestEditListing","test_edit_listing","",""
"Тест проверяет успешную авторизацию существующего пользователя","185","Авторизация пользователя: позитивный кейс","tests.User","2025-12-17","passed","2025-12-17","TestUserLogin","Авторизация","",""
"Тест проверяет успешное удаление объявления","78","Удаление объявления: позитивный кейс","tests.Listing","2025-12-17","passed","2025-12-17","TestDeleteListing","test_delete_listing","",""
"Тест проверяет ошибку при редактировании без токена","45","Редактирование объявления: негативный кейс (без авторизации)","tests.Listing","2025-12-17","passed","2025-12-17","TestEditListing","test_edit_listing","",""
"Тест проверяет успешное создание нового уникального пользователя","93","Создание пользователя: позитивный кейс","tests.User","2025-12-17","passed","2025-12-17","TestUserRegistration","test_user_registration","",""
